MinifigNumber,MinifigName,MinifigCategory,OwnedInSets,OwnedLoose,Notes,Value new (USD),Value used (USD)
"tlm074","Unikitty - Astro Kitty","The LEGO Movie / General",1,0,"",13.7500,10.6800
"tlm077","Unikitty","The LEGO Movie / General",1,0,"",5.8800,3.5200
"tlm078","Emmet - Lopsided Closed Mouth Smile, with Piece of Resistance and Plate on Leg","The LEGO Movie / General",1,0,"",4.4600,2.1200
"tlm079","Robo SWAT - Knit Cap, Neck Bracket","The LEGO Movie / General",1,0,"",3.0200,1.9200
"tlm088","Classic Space Droid -  Light Bluish Gray and Blue with Trans-Red Eye (Benny's Droid)","The LEGO Movie / General",1,0,"",1.2900,1.6500
"tlm089","Classic Space Droid - Light Bluish Gray and Blue with Trans-Yellow Eye (Benny's Droid)","The LEGO Movie / General",2,0,"",0.7200,0.6500
"tlm090","Batman - Dual Sided Head Grin and Angry Face (Type 2 Cowl)","The LEGO Movie / General",1,0,"",7.1000,3.0600
"tlm091","Unikitty - Super Angry Kitty","The LEGO Movie / General",1,0,"",5.9400,4.4000
"tlm092","Vitruvius - Ghost Shroud","The LEGO Movie / General",1,0,"",7.3800,4.4200
"tlm093","Unikitty - Puzzled, Sitting","The LEGO Movie / General",1,0,"",5.6500,4.0700
"tlm094","Benny - Closed Eyes","The LEGO Movie / General",1,0,"",5.1700,2.9800
"tlm095","President Business - Smiling, Raised Eyebrows","The LEGO Movie / General",1,0,"",4.0400,2.3200
"tlm096","Emmet - Lopsided Open Mouth Smile","The LEGO Movie / General",1,0,"",2.7700,1.7100
"tlm107","Benny - Smile / Scared","The LEGO Movie 2 / General",1,0,"",2.8900,1.9600
"tlm108","Classic Space - Dark Pink with Air Tanks and Updated Helmet (Lenny)","The LEGO Movie 2 / General",1,0,"",5.6800,4.3900
"tlm109","Classic Space - Yellow with Air Tanks and Updated Helmet (Second Reissue - Kenny)","The LEGO Movie 2 / General",1,0,"",3.9800,3.0100
"tlm110","Classic Space - White with Air Tanks and Updated Helmet (Third Reissue - Jenny)","The LEGO Movie 2 / General",1,0,"",3.4000,2.8000
"tls100","Everyone is Awesome Black (Monochrome)","LEGO Brand / LEGO Brand Store",1,0,"",3.0600,1.4600
"tls101","Everyone is Awesome Reddish Brown (Monochrome)","LEGO Brand / LEGO Brand Store",1,0,"",2.9900,2.0000
"tls102","Everyone is Awesome Red (Monochrome)","LEGO Brand / LEGO Brand Store",1,0,"",3.0100,1.7500
"tls103","Everyone is Awesome Orange (Monochrome)","LEGO Brand / LEGO Brand Store",1,0,"",2.8700,3.1000
"tls104","Everyone is Awesome Yellow (Monochrome)","LEGO Brand / LEGO Brand Store",1,0,"",3.3100,1.8200
"tls105","Everyone is Awesome Bright Green (Monochrome)","LEGO Brand / LEGO Brand Store",1,0,"",3.2700,2.7700
"tls106","Everyone is Awesome Blue (Monochrome)","LEGO Brand / LEGO Brand Store",1,0,"",3.2100,2.2400
"tls107","Everyone is Awesome Dark Purple (Monochrome)","LEGO Brand / LEGO Brand Store",1,0,"",3.3900,2.2400
"tls108","Everyone is Awesome Bright Light Blue (Monochrome)","LEGO Brand / LEGO Brand Store",1,0,"",3.2900,1.7500
"tls109","Everyone is Awesome White (Monochrome)","LEGO Brand / LEGO Brand Store",1,0,"",3.6200,1.9900
"tls110","Everyone is Awesome Dark Pink (Monochrome)","LEGO Brand / LEGO Brand Store",1,0,"",3.2800,2.5000
"tnt003","Michelangelo","Teenage Mutant Ninja Turtles / General",1,0,"",10.4400,4.5500
"tnt006","The Kraang - Medium Blue Exo-Suit Body with Jet Pack","Teenage Mutant Ninja Turtles / General",0,1,"",4.5400,3.5100
"tnt011","Foot Soldier - Robot","Teenage Mutant Ninja Turtles / General",1,0,"",3.2800,1.7000
"tnt012","Michelangelo, Grin","Teenage Mutant Ninja Turtles / General",1,0,"",10.8000,4.3800
"tnt022","The Kraang - Medium Blue Exo-Suit Body","Teenage Mutant Ninja Turtles / General",0,1,"",2.9900,2.0600
"tnt039","Flashback Shredder","Teenage Mutant Ninja Turtles / General",1,0,"",6.6300,4.8000
"twn445","Overalls Farmer Green, Dark Brown Short Tousled Hair, Standard Grin","Town / General",1,0,"",1.9900,1.6300
"zip009","Jacket with Zipper - Red, Red Legs, White Helmet, Trans-Light Blue Visor","Town / Classic Town",1,0,"",,1.2900
"zip016","Jacket with Zipper - White, White Legs, White Helmet, Trans-Light Blue Visor","Town / Classic Town",1,0,"",1.9900,1.3800





